"Name","ipfsUrl","Accessories","Artifacts","Background","Body","Coins","Expression","Eyes","Hieroglyphs","Keyword","Mouth"
"Chia Friends #1012","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1012.png",,,"Dan Perrywinkle","K32 (Steel)",,"Relaxed (Steel)","Closed","3",,"Intercom (Steel)"
"Chia Friends #1013","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1013.png",,,"Cherry Blossom","K32 (Steel)","Hamburger","Relaxed (Steel)","Red","2",,"Happy (Steel)"
"Chia Friends #1014","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1014.png",,,"Green Lasers & Stars","K32 (Jade)","Star",,"Seer (Jade)","2",,"Stoic"
"Chia Friends #1015","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1015.png",,"Emerald","Lilac","Marmot (Green)",,"Squint (Purple)","Green",,,"Snout (Eating)"
"Chia Friends #1016","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1016.png",,,"Sand","Marmot (Brown)",,,"Blue",,,"Snout (Tooth)"
"Chia Friends #1017","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1017.png",,,"Fern","Cucumber","Lightning","Squint (Green)","Blue",,,"Happy (Green)"
"Chia Friends #1018","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1018.png","Mohawk (Green)",,"Green Lasers & Stars","Parakeet (Green)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #1019","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1019.png",,,"Dolphin","Marmot (Brown)",,,"Cyborg",,,"Snout (Small)"
"Chia Friends #102","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/102.png",,,"Dan Perrywinkle","K32 (Steel)",,,"Yellow","2",,"Happy (Steel)"
"Chia Friends #1020","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1020.png","Mohawk (Blue)",,"Owl","Starling",,,"Cyborg",,,"Beak (Long)"
"Chia Friends #1021","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1021.png","Verdant",,"Caribbean & Gradient","Cactus (Red)",,"Wide Eyes","Enlightened",,,"Frown (Purple)"
"Chia Friends #1022","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1022.png",,"Yoyo","Watermellon","Cactus (Green)",,"Wide Eyes","Orange",,,"Happy (Green)"
"Chia Friends #1023","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1023.png",,,"Jellyfish & Watercolor","K32 (Steel)",,"Relaxed (Steel)","Closed","3",,"Smile (Steel)"
"Chia Friends #1024","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1024.png",,,"Tuna","Marmot (Purple)",,,"Rainbow",,,"Snout (Hungry)"
"Chia Friends #1025","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1025.png","Mohawk (Purple)",,"Slate & Glimmer","Cucumber",,"Squint (Green)","Purple",,,"Frown (Green)"
"Chia Friends #1026","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1026.png",,,"Fern","K32 (Steel)",,,"Green","2",,"Smile (Steel)"
"Chia Friends #1027","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1027.png",,,"Dan Perrywinkle","Starling",,,"Blue",,,"Beak (Long)"
"Chia Friends #1028","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1028.png",,,"Owl","Parakeet (Green)",,,"Orange",,,"Beak (Small)"
"Chia Friends #1029","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1029.png",,,"Fern & Watercolor","Marmot (Purple)",,"Wide Eyes","Shades",,,"Snout (Drool)"
"Chia Friends #103","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/103.png",,,"Fern & Watercolor","Marmot (Blue)",,"Wide Eyes","Rainbow",,,"Snout (Drool)"
"Chia Friends #1030","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1030.png","Flower (Yellow)",,"Owl & Glimmer","Starling",,,"Blue",,,"Beak (Long)"
"Chia Friends #1031","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1031.png",,,"Banana","Marmot (Brown)",,"Wide Eyes","Orange",,,"Snout (Eating)"
"Chia Friends #1032","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1032.png",,,"Green","Cactus (Green)",,"Wide Eyes","Enlightened",,,"Ooo (Green)"
"Chia Friends #1033","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1033.png",,"Sparkles","Sky & Sparkle","Starling",,,"Vipers",,,"Beak (Long)"
"Chia Friends #1034","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1034.png",,,"Yak","Marmot (Gray)",,,"Laser Visor",,,"Snout (Hungry)"
"Chia Friends #1035","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1035.png",,,"Star Field & Gradient","K32 (Amethyst)",,,"Seer (Amethyst)","2",,"Stoic"
"Chia Friends #1036","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1036.png",,,"Flax & Gradient","Parakeet (Yellow)",,,"3D Glasses",,,"Beak (Small)"
"Chia Friends #1037","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1037.png",,,"Green & Glimmer","Parakeet (Yellow)",,,"Shades",,,"Beak (Small)"
"Chia Friends #1038","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1038.png",,,"Swamp & Watercolor","Marmot (Brown)",,,"Cyborg",,,"Snout (Small)"
"Chia Friends #1039","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1039.png",,,"Green & Gradient","Cactus (Red)",,"Squint (Purple)","Orange",,,"Frown (Purple)"
"Chia Friends #104","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/104.png",,"Yoyo","Flax & Gradient","K32 (Steel)",,,"Closed","3",,"Intercom (Steel)"
"Chia Friends #1040","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1040.png",,,"Dolphin","Cucumber",,"Wide Eyes","3D Glasses",,,"Ooo (Green)"
"Chia Friends #1041","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1041.png",,,"Lilac","Marmot (Purple)",,,"Purple",,,"Snout (Small)"
"Chia Friends #1042","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1042.png",,,"Caribbean & Gradient","Starling",,,"Laser Visor",,,"Beak (Long)"
"Chia Friends #1043","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1043.png","Mohawk (Purple)",,"Grid","Marmot (Gray)",,,"Cyborg",,,"Snout (Drool)"
"Chia Friends #1044","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1044.png",,,"Squash","Parakeet (Yellow)",,,"Shades",,,"Beak (Small)"
"Chia Friends #1045","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1045.png",,,"Ice","K32 (Steel)","Asterisk",,"Blue","1",,"Sad (Steel)"
"Chia Friends #1046","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1046.png",,,"Lilac","Cucumber",,"Squint (Green)","Green",,,"Frown (Green)"
"Chia Friends #1047","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1047.png","Mohawk (Red)",,"Monster","Marmot (Gray)",,,"Green",,,"Snout (Sullen)"
"Chia Friends #1048","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1048.png",,,"Yak & Gradient","Parakeet (Green)","Infinity",,"Cyborg",,,"Beak (Small)"
"Chia Friends #1049","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1049.png",,,"Yak","Broccoli (Green)",,,"Ded",,,"Smile (Green)"
"Chia Friends #105","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/105.png",,,"Worm","Marmot (Orange)",,"Squint (Purple)","Orange",,,"Snout (Sullen)"
"Chia Friends #1050","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1050.png","Flower (Red)",,"Nighttime","Parakeet (Yellow)",,,"Rainbow",,,"Beak (Small)"
"Chia Friends #1051","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1051.png",,,"Dan Perrywinkle & Gradient","K32 (Steel)",,,"Closed","2",,"Sad (Steel)"
"Chia Friends #1052","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1052.png",,,"Mauve & Gradient","Broccoli (Green)","Infinity","Wide Eyes","Shades",,,"Carne (Green)"
"Chia Friends #1053","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1053.png",,,"Monster & Watercolor","Parakeet (Green)",,,"Enlightened",,,"Beak (Small)"
"Chia Friends #1054","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1054.png",,"Emerald","Cherry Blossom","Marmot (Brown)",,,"Laser Visor",,,"Snout (Small)"
"Chia Friends #1055","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1055.png",,,"Lilac","Parakeet (Yellow)",,,"Red",,,"Beak (Small)"
"Chia Friends #1056","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1056.png",,,"Mint & Glimmer","K32 (Steel)",,,"Yellow","3",,"Intercom (Steel)"
"Chia Friends #1057","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1057.png",,,"Flax","Cactus (esaung)",,"Wide Eyes","Green",,,"Happy (Tan)"
"Chia Friends #1058","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1058.png",,,"Squash & Sparkle","Marmot (Green)","Heart",,"Cyborg",,,"Snout (Eating)"
"Chia Friends #1059","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1059.png",,,"Nighttime & Watercolor","K32 (Steel)",,,"Yellow","4",,"Happy (Steel)"
"Chia Friends #106","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/106.png",,,"Thistle & Shimmer","Cactus (Red)",,"Wide Eyes","3D Glasses",,,"Happy (Tan)"
"Chia Friends #1060","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1060.png",,"Fireball (Yellow)","Jellyfish & Gradient","Cauliflower",,"Wide Eyes","Rainbow",,,"Smile (Tan)"
"Chia Friends #1061","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1061.png",,,"Slate","Parakeet (Yellow)",,,"Enlightened",,,"Beak (Small)"
"Chia Friends #1062","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1062.png",,,"Swamp & Gradient","Parakeet (Yellow)",,,"Enlightened",,,"Beak (Small)"
"Chia Friends #1063","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1063.png",,"Emerald","Banana","K32 (Steel)",,,"Yellow","3",,"Smile (Steel)"
"Chia Friends #1064","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1064.png",,,"Sea Foam","K32 (Steel)","Crescent",,"Closed","3",,"Jagged (Steel)"
"Chia Friends #1065","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1065.png","Verdant",,"Banana","K32 (Steel)",,,"Green","4",,"Happy (Steel)"
"Chia Friends #1066","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1066.png",,,"Mint","Cactus (Red)",,"Wide Eyes","Shades",,,"Ooo (Purple)"
"Chia Friends #1067","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1067.png",,"Ruby","Green","Marmot (Brown)",,,"Shades",,,"Snout (Sullen)"
"Chia Friends #1068","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1068.png",,,"Nighttime","Parakeet (Yellow)",,,"Orange",,,"Beak (Small)"
"Chia Friends #1069","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1069.png",,"Sparkles","Gold Fish","Cactus (Green)",,,"Purple",,,"Ooo (Green)"
"Chia Friends #107","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/107.png",,,"Worm & Watercolor","K32 (Steel)",,,"Green","3",,"Intercom (Steel)"
"Chia Friends #1070","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1070.png",,"Fireball (Yellow)","Green Lasers & Stars","K32 (Amethyst)",,,"Seer (Amethyst)","1",,"Stoic"
"Chia Friends #1071","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1071.png",,,"Dolphin & Gradient","K32 (Steel)","Rainbow","Relaxed (Steel)","Closed","2",,"Smile (Steel)"
"Chia Friends #1072","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1072.png",,"Halo","Sea Foam","Marmot (Blue)",,,"Cyborg",,,"Snout (Drool)"
"Chia Friends #1073","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1073.png",,"Halo","Mint","Marmot (Brown)",,,"Laser Visor",,,"Snout (Hungry)"
"Chia Friends #1074","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1074.png",,,"Cranberry","Broccoli (Green)",,"Wide Eyes","Shades",,,"Carne (Green)"
"Chia Friends #1075","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1075.png",,,"Lilac & Gradient","Marmot (Brown)",,,"Cyborg",,,"Snout (Small)"
"Chia Friends #1076","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1076.png",,"Fireball (Blue)","Slate & Gradient","Marmot (Brown)",,"Wide Eyes","3D Glasses",,,"Snout (Eating)"
"Chia Friends #1077","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1077.png",,,"Seashell","Marmot (Red)","Triangle",,"Orange",,,"Snout (Sullen)"
"Chia Friends #1078","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1078.png",,,"Mauve","Broccoli (Purple)",,,"Blue",,,"Smile (Purple)"
"Chia Friends #1079","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1079.png",,,"Dan Perrywinkle","Cactus (Red)",,"Squint (Purple)","Orange",,,"Frown (Tan)"
"Chia Friends #108","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/108.png",,,"Green & Gradient","Starling",,,"Green",,,"Beak (Long)"
"Chia Friends #1080","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1080.png",,,"Dolphin & Glimmer","Cactus (Albino)",,"Wide Eyes","Laser Visor",,,"Ooo (Tan)"
"Chia Friends #1081","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1081.png",,,"Dan Perrywinkle","Marmot (Gray)",,"Wide Eyes","Zombie",,,"Snout (Small)"
"Chia Friends #1082","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1082.png",,,"Banana & Gradient","Cactus (Purple)",,,"Vipers",,,"Happy (Tan)"
"Chia Friends #1083","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1083.png",,,"Squash","Parakeet (Yellow)",,,"3D Glasses",,,"Beak (Small)"
"Chia Friends #1084","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1084.png",,"Fireball (Blue)","Cherry Blossom & Watercolor","Seal",,"Wide Eyes","Green",,,"Snout (Eating)"
"Chia Friends #1085","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1085.png",,,"Green & Sparkle","Marmot (Blue)",,"Squint (Purple)","Red",,,"Snout (Sullen)"
"Chia Friends #1086","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1086.png",,,"Ice & Gradient","K32 (Steel)",,,"Green","1",,"Jagged (Steel)"
"Chia Friends #1087","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1087.png",,,"Opaa","Cactus (esaung)",,"Squint (Purple)","Blue",,,"Frown (Tan)"
"Chia Friends #1088","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1088.png",,,"Caribbean & Watercolor","Broccoli (Green)",,"Squint (Green)","Blue",,,"Smile (Green)"
"Chia Friends #1089","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1089.png",,,"Sky","Cactus (Albino)",,"Wide Eyes","Cyborg",,,"Carne (Tan)"
"Chia Friends #109","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/109.png",,"Emerald","Mauve & Watercolor","Cactus (Purple)",,"Wide Eyes","Blue",,,"Carne (Purple)"
"Chia Friends #1090","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1090.png",,,"Ice","Starling",,,"Red",,,"Beak (Long)"
"Chia Friends #1091","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1091.png",,,"Watermellon & Sparkle","Marmot (Blue)",,,"Zombie",,,"Snout (Sullen)"
"Chia Friends #1092","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1092.png",,,"Tundra & Glimmer","Marmot (Red)",,"Wide Eyes","Green",,,"Snout (Drool)"
"Chia Friends #1093","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1093.png","Verdant","Fireball (Green)","Green & Watercolor","Parakeet (Green)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #1094","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1094.png",,,"quexington & Watercolor","Parakeet (Green)",,,"Red",,,"Beak (Small)"
"Chia Friends #1095","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1095.png",,,"Worm","Starling",,,"Laser Visor",,,"Beak (Long)"
"Chia Friends #1096","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1096.png",,,"Nighttime","K32 (Steel)",,,"Yellow","1",,"Smile (Steel)"
"Chia Friends #1097","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1097.png",,"Fireball (Yellow)","Dan Perrywinkle & Gradient","Marmot (Green)",,"Wide Eyes","Green",,,"Snout (Small)"
"Chia Friends #1098","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1098.png",,,"Sky & Gradient","K32 (Steel)",,,"Yellow","1",,"Sad (Steel)"
